estado,data,primeiro_estadiamento,custo_estadiamento,numero_pacientes,numero_municipios,obitos,obitos_futuros,numero_procedimentos,numero_diagnosticos
Rondônia,200801,1,1437.6999999999998,13,7,0,0,13,13
Rondônia,200801,2,16342.739999999998,51,19,0,2,51,51
Rondônia,200801,3,50873.49,72,25,0,2,75,72
Rondônia,200801,4,34338.46,27,11,1,2,28,27
Rondônia,200801,0,2105.58,1,1,0,0,1,1
Acre,200801,1,319.0,4,2,0,0,4,4
Acre,200801,3,6025.67,8,4,0,1,8,8
Acre,200801,2,3189.65,5,2,0,0,5,5
Amazonas,200801,3,78350.6,132,13,0,1,134,132
Amazonas,200801,2,81726.50999999997,269,15,0,2,275,269
Amazonas,200801,1,17267.42,79,3,0,1,80,79
Amazonas,200801,4,20822.030000000002,31,2,0,1,32,31
Roraima,200801,1,79.75,1,1,0,0,1,1
Roraima,200801,2,612.15,6,1,0,0,6,6
Roraima,200801,3,2839.9,4,1,0,0,4,4
Pará,200801,2,46848.88,295,29,0,1,297,295
Pará,200801,1,21271.570000000003,117,24,0,0,119,117
Pará,200801,3,78769.16999999998,160,29,0,1,162,160
Pará,200801,4,34286.41,41,7,0,0,42,41
Pará,200801,0,277.2,1,1,0,0,1,1
Amapá,200801,1,159.5,2,1,0,0,2,2
Amapá,200801,2,3401.3500000000004,4,2,0,0,4,4
Amapá,200801,3,301.5,1,1,0,0,1,1
Amapá,200801,4,2378.9,1,1,0,0,1,1
Tocantins,200801,3,14506.010000000002,40,17,0,2,40,40
Tocantins,200801,2,17028.14,60,27,0,1,62,60
Tocantins,200801,1,4293.3,24,13,0,1,24,24
Tocantins,200801,4,36693.840000000004,26,14,0,4,26,26
Tocantins,200801,0,4050.55,5,3,0,0,5,5
Maranhão,200801,1,81810.79,256,74,0,8,263,256
Maranhão,200801,3,101484.79999999997,207,49,0,4,218,207
Maranhão,200801,2,42631.89000000001,200,48,0,4,207,200
Maranhão,200801,4,63948.170000000006,56,19,0,3,56,56
Maranhão,200801,0,79.75,1,1,0,0,1,1
Piauí,200801,1,221178.0899999999,715,132,0,14,732,715
Piauí,200801,3,10644.460000000001,16,11,0,0,17,16
Piauí,200801,2,6967.990000000001,12,9,0,0,14,12
Piauí,200801,4,3209.65,3,3,0,0,3,3
Piauí,200801,0,507.9,3,2,0,0,3,3
Ceará,200801,2,370509.0499999999,1606,131,0,2,1628,1606
Ceará,200801,3,508175.49000000086,1148,133,0,4,1171,1148
Ceará,200801,1,112283.45999999999,725,75,0,0,728,725
Ceará,200801,4,197030.54999999987,299,72,0,2,307,299
Ceará,200801,0,181137.14999999985,438,59,0,0,449,438
Rio Grande do Norte,200801,1,37213.32,280,48,0,2,281,280
Rio Grande do Norte,200801,2,163136.26999999993,536,93,0,7,547,536
Rio Grande do Norte,200801,4,117450.47999999997,79,35,0,6,81,79
Rio Grande do Norte,200801,3,341907.62000000017,468,87,0,9,475,468
Rio Grande do Norte,200801,,6131.4,2,1,0,0,3,0
Rio Grande do Norte,200801,0,319.0,4,3,0,0,4,4
Paraíba,200801,3,229268.72999999986,493,118,0,10,501,493
Paraíba,200801,4,52355.57000000001,72,30,0,1,76,72
Paraíba,200801,0,22609.629999999997,40,8,0,1,44,40
Paraíba,200801,2,96059.23999999998,462,93,0,7,465,462
Paraíba,200801,1,18857.689999999995,152,34,0,0,154,152
Pernambuco,200801,1,25364.88,137,39,0,1,139,137
Pernambuco,200801,2,142580.23999999996,768,109,0,7,785,768
Pernambuco,200801,3,236471.1699999999,588,112,0,10,609,588
Pernambuco,200801,4,219610.07999999996,262,53,0,7,267,262
Pernambuco,200801,0,16625.480000000003,73,27,0,2,74,73
Pernambuco,200801,,821.16,1,1,0,0,1,0
Alagoas,200801,2,101802.25,392,61,0,18,402,392
Alagoas,200801,0,11082.75,14,5,0,1,14,14
Alagoas,200801,1,12778.45,114,27,0,1,114,114
Alagoas,200801,3,104984.49999999997,170,46,0,17,173,170
Alagoas,200801,4,71069.97,60,25,1,7,64,60
Sergipe,200801,2,20785.3,187,38,0,0,187,187
Sergipe,200801,4,21163.55,29,14,0,0,29,29
Sergipe,200801,0,731.0,3,2,0,0,3,3
Sergipe,200801,1,3840.02,25,9,0,0,25,25
Sergipe,200801,3,63042.33000000001,90,25,0,0,93,90
Bahia,200801,2,152993.17999999996,1259,211,0,11,1277,1259
Bahia,200801,3,332819.64999999985,817,188,1,24,838,817
Bahia,200801,4,258565.1899999999,291,92,0,9,298,291
Bahia,200801,1,58878.310000000005,563,100,0,2,570,563
Bahia,200801,0,17733.010000000002,23,9,0,1,28,23
Minas Gerais,200801,1,290780.55,2201,327,0,15,2227,2201
Minas Gerais,200801,2,766205.8900000014,3912,489,1,45,3983,3912
Minas Gerais,200801,3,1029706.4300000013,2483,426,4,75,2546,2483
Minas Gerais,200801,4,656974.8700000003,720,228,1,35,739,720
Minas Gerais,200801,0,40545.76,83,38,1,1,84,83
Minas Gerais,200801,,1062.18,2,1,0,0,3,0
Espírito Santo,200801,1,46503.68,348,49,0,2,353,348
Espírito Santo,200801,2,125130.57000000002,828,70,0,10,840,828
Espírito Santo,200801,3,181523.16,414,58,0,14,423,414
Espírito Santo,200801,4,187519.97,222,46,0,10,232,222
Espírito Santo,200801,0,2040.86,4,4,0,0,4,4
Espírito Santo,200801,,449.5,1,1,0,1,1,0
Rio de Janeiro,200801,1,149518.2,1132,71,1,6,1159,1132
Rio de Janeiro,200801,2,460681.1300000001,2738,85,5,27,2791,2738
Rio de Janeiro,200801,3,847646.6200000008,2010,80,4,30,2098,2010
Rio de Janeiro,200801,4,662478.0800000004,1078,70,3,39,1112,1078
Rio de Janeiro,200801,0,10413.66,40,11,0,1,45,40
São Paulo,200801,1,809279.0200000013,4635,386,0,31,4704,4635
São Paulo,200801,2,1272305.9599999995,7061,517,2,95,7183,7061
São Paulo,200801,3,1838163.2300000007,4099,450,1,124,4193,4099
São Paulo,200801,4,1461065.9000000006,1736,254,4,89,1789,1736
São Paulo,200801,0,491712.19999999995,1063,160,1,8,1119,1063
São Paulo,200801,,2857.1000000000004,7,5,0,0,8,0
Paraná,200801,2,402614.78000000055,2095,265,1,29,2161,2095
Paraná,200801,3,599702.2100000007,1525,262,1,44,1626,1525
Paraná,200801,4,398277.5000000001,454,141,1,42,479,454
Paraná,200801,1,122545.28,907,150,0,6,927,907
Paraná,200801,0,10751.45,50,25,0,1,50,50
Paraná,200801,,589.55,1,1,0,0,4,0
Santa Catarina,200801,1,51097.26000000001,347,73,0,3,353,347
Santa Catarina,200801,2,121529.61999999997,632,113,2,12,652,632
Santa Catarina,200801,3,120146.06999999998,337,107,0,19,352,337
Santa Catarina,200801,4,143943.36999999997,163,72,3,20,169,163
Santa Catarina,200801,0,13402.410000000002,20,17,0,0,20,20
Santa Catarina,200801,,2218.48,2,1,0,0,3,0
Rio Grande do Sul,200801,1,220415.01999999987,1750,269,0,18,1791,1750
Rio Grande do Sul,200801,2,665467.3600000007,3814,365,3,55,4055,3814
Rio Grande do Sul,200801,3,649975.2200000003,1846,297,1,48,1912,1846
Rio Grande do Sul,200801,4,732767.4600000004,1033,227,5,46,1210,1033
Rio Grande do Sul,200801,0,60804.37000000001,363,95,0,0,368,363
Mato Grosso do Sul,200801,2,155051.71999999994,570,58,1,6,584,570
Mato Grosso do Sul,200801,3,165943.44999999998,314,52,0,9,327,314
Mato Grosso do Sul,200801,1,44200.149999999994,239,34,0,1,245,239
Mato Grosso do Sul,200801,4,38295.82,41,11,0,4,41,41
Mato Grosso do Sul,200801,0,1858.2600000000002,9,4,0,0,10,9
Mato Grosso,200801,3,133207.17999999996,299,68,1,28,305,299
Mato Grosso,200801,1,14142.49,125,34,0,3,131,125
Mato Grosso,200801,2,37144.31,268,55,0,8,274,268
Mato Grosso,200801,4,31209.85,38,15,0,5,38,38
Mato Grosso,200801,0,4199.9,7,5,0,0,7,7
Goiás,200801,2,226933.3499999999,1023,131,0,14,1045,1023
Goiás,200801,3,305015.29,470,90,1,13,485,470
Goiás,200801,1,43877.46000000001,261,57,0,2,264,261
Goiás,200801,0,20025.969999999998,41,19,0,2,42,41
Goiás,200801,4,91140.30999999998,96,29,2,5,101,96
Distrito Federal,200801,0,5651.75,21,1,0,1,21,21
Distrito Federal,200801,1,13636.07,101,1,0,0,113,101
Distrito Federal,200801,2,58049.590000000026,396,1,0,0,435,396
Distrito Federal,200801,3,59649.68000000001,172,1,0,1,179,172
Distrito Federal,200801,4,165525.35999999993,174,1,0,1,197,174
Rondônia,200802,1,2441.7799999999997,14,7,0,0,16,1
Rondônia,200802,2,10805.59,52,18,1,2,53,5
Rondônia,200802,3,34865.33000000001,76,25,0,2,79,5
Rondônia,200802,4,25732.690000000002,25,10,0,0,28,0
Rondônia,200802,0,2105.58,1,1,0,0,1,0
Acre,200802,3,7768.039999999999,7,2,0,1,7,1
Acre,200802,2,3189.65,5,2,0,0,5,0
Amazonas,200802,3,100994.73999999999,148,15,1,1,159,23
Amazonas,200802,2,86903.55000000002,280,15,1,2,286,19
Amazonas,200802,1,18667.539999999997,79,3,0,1,80,1
Amazonas,200802,4,20669.759999999995,34,2,1,1,35,5
Roraima,200802,1,79.75,1,1,0,0,1,0
Roraima,200802,2,612.15,6,1,0,0,6,0
Roraima,200802,3,3659.15,3,1,0,0,3,0
Pará,200802,3,80857.20999999999,149,25,0,1,154,73
Pará,200802,1,32105.36,125,22,0,0,126,58
Pará,200802,2,59433.03,290,30,0,0,294,153
Pará,200802,4,34244.8,42,9,0,0,42,22
Amapá,200802,1,159.5,2,1,0,0,2,0
Amapá,200802,2,213.4,1,1,0,0,1,1
Amapá,200802,3,301.5,1,1,0,0,1,0
Amapá,200802,4,2565.62,1,1,0,0,2,0
Tocantins,200802,3,16264.309999999998,53,19,0,2,58,13
Tocantins,200802,2,19900.139999999996,85,33,0,1,89,25
Tocantins,200802,1,5148.85,32,14,0,1,32,9
Tocantins,200802,4,34835.380000000005,31,14,0,5,34,5
Tocantins,200802,0,2685.5,7,3,0,0,7,2
Maranhão,200802,1,86838.74999999997,270,78,0,9,284,22
Maranhão,200802,3,107129.45,217,51,0,4,237,14
Maranhão,200802,2,32899.19,211,50,0,4,220,15
Maranhão,200802,4,66497.88,63,21,0,5,69,7
Maranhão,200802,0,79.75,1,1,0,0,1,0
Piauí,200802,1,234146.64999999988,725,135,0,15,741,52
Piauí,200802,3,8888.42,17,11,0,0,18,1
Piauí,200802,2,4668.03,12,10,0,0,13,1
Piauí,200802,4,830.75,2,2,0,0,2,0
Piauí,200802,0,961.72,4,2,0,0,4,2
Ceará,200802,2,383066.79,1655,134,0,2,1706,84
Ceará,200802,3,521091.7400000001,1211,134,0,5,1268,94
Ceará,200802,1,109946.11999999997,738,78,0,0,744,33
Ceará,200802,4,203713.6799999999,312,74,0,2,330,26
Ceará,200802,0,184095.70999999973,467,60,0,0,492,33
Rio Grande do Norte,200802,1,35434.32,290,48,0,2,291,13
Rio Grande do Norte,200802,2,164404.84,560,97,1,6,573,32
Rio Grande do Norte,200802,4,122010.91999999997,83,34,0,6,86,6
Rio Grande do Norte,200802,3,338996.63000000006,495,90,1,10,509,36
Rio Grande do Norte,200802,,265.56,3,1,0,0,4,0
Rio Grande do Norte,200802,0,319.0,4,3,0,0,4,0
Paraíba,200802,2,91312.19999999995,533,105,0,7,547,102
Paraíba,200802,3,202447.36999999985,512,121,0,9,534,67
Paraíba,200802,4,47767.72000000001,73,33,1,1,79,11
Paraíba,200802,0,14340.289999999999,34,9,0,0,37,3
Paraíba,200802,1,15389.31,150,33,0,0,151,13
Pernambuco,200802,1,28759.8,147,41,0,1,150,15
Pernambuco,200802,2,149985.02,795,115,0,5,810,68
Pernambuco,200802,3,241020.94999999995,615,114,1,8,643,75
Pernambuco,200802,4,219905.58,273,58,1,6,281,32
Pernambuco,200802,0,47687.490000000005,116,36,1,4,120,45
Pernambuco,200802,,1844.62,3,3,0,0,3,0
Alagoas,200802,2,100654.37999999999,400,61,0,16,410,23
Alagoas,200802,4,75251.85999999999,61,25,0,8,63,10
Alagoas,200802,0,9757.25,18,5,0,1,19,5
Alagoas,200802,1,15900.17,121,28,0,1,124,10
Alagoas,200802,3,109153.83999999995,184,47,0,18,190,21
Sergipe,200802,1,5954.9,36,17,0,0,36,12
Sergipe,200802,2,34352.060000000005,283,44,0,1,285,110
Sergipe,200802,3,99290.36999999998,156,40,0,0,160,75
Sergipe,200802,4,42988.94,54,15,0,0,55,28
Sergipe,200802,0,1024.15,5,3,0,0,5,2
Bahia,200802,2,192919.60999999996,1421,234,0,12,1533,236
Bahia,200802,3,340181.45999999985,903,218,2,25,999,201
Bahia,200802,4,321243.3800000001,377,125,3,13,402,117
Bahia,200802,1,63622.44,619,112,0,3,652,107
Bahia,200802,0,14192.35,29,12,0,1,37,8
Minas Gerais,200802,1,279315.84,2273,331,0,16,2316,140
Minas Gerais,200802,2,779230.2900000017,4163,510,5,46,4288,340
Minas Gerais,200802,3,990191.840000002,2598,442,3,73,2712,230
Minas Gerais,200802,4,646935.7200000008,773,235,3,37,821,80
Minas Gerais,200802,0,38380.83,96,45,0,0,99,24
Minas Gerais,200802,,868.94,2,1,0,0,3,0
Espírito Santo,200802,1,41731.29,358,50,0,2,360,14
Espírito Santo,200802,2,118444.87000000002,847,70,0,10,862,26
Espírito Santo,200802,3,175483.74999999994,430,59,1,14,448,23
Espírito Santo,200802,4,176324.93999999997,231,46,4,10,244,14
Espírito Santo,200802,0,1564.1,4,4,0,0,4,1
Rio de Janeiro,200802,1,146953.77000000002,1157,70,0,5,1178,60
Rio de Janeiro,200802,2,486019.19000000024,2766,85,4,24,2833,115
Rio de Janeiro,200802,3,814473.33,2043,80,4,29,2147,156
Rio de Janeiro,200802,4,649439.3200000004,1091,70,8,40,1142,64
Rio de Janeiro,200802,0,13665.2,42,12,0,1,44,7
Rio de Janeiro,200802,,2683.44,3,1,0,0,3,0
São Paulo,200802,1,789953.9700000008,4913,394,3,35,5023,390
São Paulo,200802,2,1296003.0899999999,7580,523,3,97,7772,683
São Paulo,200802,3,1819881.5000000007,4412,456,8,132,4593,441
São Paulo,200802,4,1475359.1800000009,1927,276,11,97,2002,255
São Paulo,200802,0,395454.64999999973,1068,166,2,9,1103,147
São Paulo,200802,,8222.560000000001,8,3,0,1,8,0
Paraná,200802,2,437984.02999999997,2169,266,6,31,2243,161
Paraná,200802,3,573322.1800000003,1513,259,4,49,1594,107
Paraná,200802,1,123868.25999999995,914,153,0,6,929,51
Paraná,200802,4,371041.92000000016,468,146,8,43,490,37
Paraná,200802,0,15762.439999999997,56,29,1,2,57,11
Paraná,200802,,336.15,1,1,0,0,2,0
Santa Catarina,200802,1,81055.07,579,103,0,4,591,238
Santa Catarina,200802,2,163909.77999999985,958,156,0,12,972,343
Santa Catarina,200802,3,190849.88999999987,501,134,0,22,514,170
Santa Catarina,200802,4,178153.28,228,86,2,17,233,77
Santa Catarina,200802,0,15611.419999999998,30,19,0,0,30,15
Santa Catarina,200802,,1033.52,1,1,0,0,2,0
Rio Grande do Sul,200802,1,222588.3899999999,1742,271,0,20,1795,89
Rio Grande do Sul,200802,2,696601.8900000011,3771,364,4,55,3914,195
Rio Grande do Sul,200802,3,691809.5100000005,1830,293,5,51,1923,132
Rio Grande do Sul,200802,4,786280.3900000007,1060,233,6,49,1175,86
Rio Grande do Sul,200802,0,64559.96999999999,436,100,1,1,446,81
Mato Grosso do Sul,200802,2,116760.46000000002,580,58,0,6,712,20
Mato Grosso do Sul,200802,3,156318.66999999995,331,52,2,9,392,30
Mato Grosso do Sul,200802,1,32803.58,239,33,0,1,341,8
Mato Grosso do Sul,200802,4,30984.54,42,11,0,4,52,3
Mato Grosso do Sul,200802,,485.52,1,1,0,0,1,0
Mato Grosso do Sul,200802,0,2338.93,9,4,0,0,11,1
Mato Grosso,200802,3,144836.81000000003,300,68,1,28,308,29
Mato Grosso,200802,1,21552.66,131,34,0,3,137,8
Mato Grosso,200802,2,49832.76,275,55,0,8,278,15
Mato Grosso,200802,0,4120.15,6,4,0,0,6,0
Mato Grosso,200802,4,29469.489999999998,38,14,1,5,38,2
Mato Grosso,200802,,128.4,1,1,0,0,1,0
Goiás,200802,2,224136.74999999983,1081,126,1,14,1107,86
Goiás,200802,3,301793.47,524,102,0,18,550,75
Goiás,200802,1,44379.24,272,58,0,2,275,19
Goiás,200802,0,18532.100000000002,52,22,0,2,55,12
Goiás,200802,4,93966.81999999998,93,28,1,6,100,7
Distrito Federal,200802,0,4446.049999999999,21,1,0,1,21,5
Distrito Federal,200802,1,12227.01,75,1,0,0,79,5
Distrito Federal,200802,2,44204.840000000026,285,1,0,0,298,15
Distrito Federal,200802,3,45313.95000000001,129,1,0,1,130,10
Distrito Federal,200802,4,109382.07999999996,126,1,0,0,134,7
Rondônia,200803,1,993.97,7,6,0,0,8,3
Rondônia,200803,2,7356.26,28,14,0,1,29,6
Rondônia,200803,3,27139.350000000006,31,12,1,3,33,12
Rondônia,200803,4,11538.32,10,6,0,0,11,4
Rondônia,200803,0,2105.58,1,1,0,0,1,0
Acre,200803,3,9792.76,13,5,0,1,14,7
Acre,200803,1,1196.25,15,3,0,0,15,11
Acre,200803,2,3288.62,22,6,0,0,23,19
Acre,200803,4,15009.449999999999,17,4,0,1,17,17
Amazonas,200803,3,106234.85999999991,154,13,1,1,167,17
Amazonas,200803,2,81792.53000000001,279,15,0,2,284,10
Amazonas,200803,4,22031.62,36,2,1,1,39,3
Amazonas,200803,1,19184.64,76,2,0,1,78,1
Roraima,200803,1,79.75,1,1,0,0,1,0
Roraima,200803,2,1234.3400000000001,8,1,0,0,8,2
Roraima,200803,3,6565.780000000001,6,1,0,0,6,2
Roraima,200803,4,2378.9,1,1,0,0,1,1
Pará,200803,2,55579.200000000004,282,28,0,0,283,66
Pará,200803,3,81190.71999999999,151,24,0,1,158,47
Pará,200803,1,22259.530000000002,132,23,0,0,134,27
Pará,200803,4,31718.75,48,10,0,0,48,21
Amapá,200803,1,532.4,6,2,0,0,6,4
Amapá,200803,2,4346.85,10,2,0,0,10,8
Amapá,200803,4,79.75,1,1,0,0,1,1
Tocantins,200803,3,18598.660000000003,40,17,0,2,43,4
Tocantins,200803,2,17078.79,57,30,0,1,65,2
Tocantins,200803,1,7556.290000000001,24,13,0,1,27,1
Tocantins,200803,4,20269.95,24,13,2,5,26,0
Tocantins,200803,0,319.0,3,2,0,0,6,0
Maranhão,200803,1,86028.39,273,83,2,12,286,16
Maranhão,200803,3,103773.74999999999,217,51,0,4,239,10
Maranhão,200803,2,38387.46000000001,209,52,1,4,215,11
Maranhão,200803,4,67970.90000000001,58,18,1,5,65,2
Maranhão,200803,0,79.75,1,1,0,0,1,0
Piauí,200803,1,238297.61999999985,732,141,1,13,754,34
Piauí,200803,3,4849.960000000001,18,12,0,0,19,3
Piauí,200803,4,830.75,4,3,0,0,4,1
Piauí,200803,2,4544.45,13,11,0,0,13,2
Piauí,200803,0,1392.96,4,2,0,0,4,0
Ceará,200803,3,502024.08000000025,1187,134,1,6,1240,55
Ceará,200803,1,104003.33999999997,735,77,0,0,741,18
Ceará,200803,2,366095.5700000001,1637,129,0,2,1685,53
Ceará,200803,4,195881.46999999986,305,71,0,2,317,19
Ceará,200803,0,174910.47999999986,463,62,0,0,487,17
Rio Grande do Norte,200803,1,31843.939999999995,247,45,0,2,248,27
Rio Grande do Norte,200803,2,145511.39999999997,527,96,0,6,538,24
Rio Grande do Norte,200803,4,109553.97999999995,82,32,1,6,84,10
Rio Grande do Norte,200803,3,301286.20999999996,487,90,0,10,507,52
Rio Grande do Norte,200803,,3328.6800000000003,2,1,0,0,2,0
Rio Grande do Norte,200803,0,239.25,3,3,0,0,3,0
Paraíba,200803,2,91921.84999999993,547,106,0,7,563,24
Paraíba,200803,3,204025.9299999999,517,129,0,10,541,29
Paraíba,200803,4,52760.630000000005,72,31,0,1,76,3
Paraíba,200803,0,16359.880000000001,40,12,0,0,42,6
Paraíba,200803,1,13633.68,154,33,0,0,154,5
Pernambuco,200803,1,35182.21,155,43,0,1,158,15
Pernambuco,200803,2,155926.50999999995,871,123,0,5,894,107
Pernambuco,200803,3,257300.37999999995,648,113,0,8,684,65
Pernambuco,200803,4,222342.0,286,62,0,4,296,31
Pernambuco,200803,0,32208.840000000004,100,34,0,3,102,19
Pernambuco,200803,,1901.8600000000001,4,4,0,0,4,0
Alagoas,200803,2,92816.62999999999,412,61,1,16,422,19
Alagoas,200803,4,75070.42,58,24,0,8,59,4
Alagoas,200803,0,9837.0,18,5,0,1,18,0
Alagoas,200803,1,16683.359999999997,120,28,0,1,124,2
Alagoas,200803,3,97225.81000000001,184,46,1,18,191,14
Sergipe,200803,1,2658.12,30,14,0,0,32,0
Sergipe,200803,2,32830.350000000006,235,41,0,1,239,8
Sergipe,200803,3,75090.81,118,35,0,0,122,11
Sergipe,200803,4,39553.19,50,17,0,0,53,4
Sergipe,200803,0,944.4,4,2,0,0,4,0
Bahia,200803,2,216737.05999999988,1433,235,0,12,2042,68
Bahia,200803,3,380520.83000000025,934,204,1,30,1235,80
Bahia,200803,4,342714.4800000001,377,118,1,13,477,32
Bahia,200803,1,67638.1,627,116,1,3,804,27
Bahia,200803,0,14742.75,31,17,0,1,43,6
Minas Gerais,200803,1,277567.31,2280,336,0,17,2389,75
Minas Gerais,200803,2,759142.8700000013,4164,508,4,44,4447,143
Minas Gerais,200803,3,1007974.3600000017,2600,443,8,77,2815,138
Minas Gerais,200803,4,624620.1000000008,755,232,4,35,800,46
Minas Gerais,200803,0,38802.71,94,47,0,0,104,13
Minas Gerais,200803,,326.08,2,1,0,0,2,0
Espírito Santo,200803,1,45535.060000000005,357,50,0,2,361,11
Espírito Santo,200803,2,107957.37,845,69,1,10,856,22
Espírito Santo,200803,3,192992.27999999997,435,59,1,14,453,26
Espírito Santo,200803,4,190858.85,236,49,1,9,244,18
Espírito Santo,200803,0,1553.1,3,3,0,0,3,0
Rio de Janeiro,200803,1,146115.33,1214,72,0,6,1237,82
Rio de Janeiro,200803,2,505125.24999999994,2815,86,1,24,2900,164
Rio de Janeiro,200803,3,884424.7400000006,2119,81,5,31,2206,228
Rio de Janeiro,200803,4,669074.4100000003,1114,69,10,40,1162,96
Rio de Janeiro,200803,0,21154.13,71,25,0,1,73,30
Rio de Janeiro,200803,,1868.52,4,2,0,0,4,0
São Paulo,200803,2,1302379.8500000006,7654,513,6,99,7824,630
São Paulo,200803,3,1849879.3900000004,4405,451,6,131,4597,356
São Paulo,200803,4,1426592.7199999983,1928,272,11,92,2021,184
São Paulo,200803,0,355182.22,1081,160,2,9,1109,150
São Paulo,200803,1,766982.0200000007,4897,388,1,32,5002,207
São Paulo,200803,,8462.44,12,7,2,3,12,0
Paraná,200803,2,434268.8300000001,2347,281,3,33,2453,243
Paraná,200803,3,876704.0400000012,1587,267,3,55,1730,144
Paraná,200803,4,410348.0200000002,510,149,5,45,566,73
Paraná,200803,1,128744.30000000002,959,157,0,7,1003,67
Paraná,200803,0,16564.55,61,33,0,2,62,6
Paraná,200803,,79.75,1,1,0,0,1,0
Santa Catarina,200803,1,59598.92000000002,363,74,1,3,376,16
Santa Catarina,200803,2,108878.96999999996,637,113,0,11,655,25
Santa Catarina,200803,4,137497.23999999996,165,69,1,19,173,18
Santa Catarina,200803,3,128895.24000000002,354,105,1,18,370,27
Santa Catarina,200803,0,4193.4800000000005,12,10,0,0,14,1
Santa Catarina,200803,,0.0,1,1,0,0,1,0
Rio Grande do Sul,200803,1,203458.39999999994,1719,265,0,19,1762,65
Rio Grande do Sul,200803,2,658689.5200000008,3649,369,3,55,3774,146
Rio Grande do Sul,200803,3,637245.9400000006,1623,290,3,51,1707,83
Rio Grande do Sul,200803,4,688619.2800000006,1006,228,7,47,1091,51
Rio Grande do Sul,200803,0,90050.54999999997,454,103,0,0,461,20
Mato Grosso do Sul,200803,2,113685.14,560,56,1,6,581,14
Mato Grosso do Sul,200803,3,154462.00000000003,328,51,0,9,352,14
Mato Grosso do Sul,200803,1,31055.870000000003,240,34,0,1,244,9
Mato Grosso do Sul,200803,4,36245.619999999995,43,11,0,4,44,3
Mato Grosso do Sul,200803,,1266.52,1,1,0,0,1,0
Mato Grosso do Sul,200803,0,3912.1099999999997,9,2,0,0,11,2
Mato Grosso,200803,3,149126.29999999996,308,71,2,30,320,21
Mato Grosso,200803,1,18173.199999999997,137,34,0,4,141,8
Mato Grosso,200803,0,4482.0,7,5,0,0,7,1
Mato Grosso,200803,2,48171.91,269,53,0,6,277,6
Mato Grosso,200803,4,24640.699999999997,36,14,0,5,37,1
Goiás,200803,3,341648.29999999993,530,104,1,16,553,46
Goiás,200803,1,41277.17,275,58,0,2,281,10
Goiás,200803,2,221643.48999999985,1065,125,0,13,1087,41
Goiás,200803,4,81176.40000000001,99,29,0,7,104,17
Goiás,200803,0,20315.42,57,23,0,2,61,7
Distrito Federal,200803,,371.92,1,1,0,0,1,0
Distrito Federal,200803,0,4753.67,22,1,0,1,22,9
Distrito Federal,200803,1,5118.1900000000005,40,1,0,0,41,8
Distrito Federal,200803,2,35301.15000000002,168,1,0,1,169,41
Distrito Federal,200803,3,40619.73,92,1,0,1,93,34
Distrito Federal,200803,4,33166.33,60,1,0,0,64,20
Rondônia,200804,1,3914.23,15,7,0,0,16,2
Rondônia,200804,2,9701.839999999998,44,17,1,1,45,2
Rondônia,200804,3,57661.020000000004,70,19,0,2,77,14
Rondônia,200804,4,35582.78,23,9,0,1,24,3
Acre,200804,4,13170.05,16,4,0,1,17,4
Acre,200804,2,5252.49,21,5,0,0,23,2
Acre,200804,3,10203.46,11,4,0,0,11,0
Acre,200804,1,1116.5,14,2,0,0,14,0
Amazonas,200804,2,86912.32999999997,280,14,0,2,289,13
Amazonas,200804,3,96149.85999999996,154,13,0,1,169,15
Amazonas,200804,1,17115.519999999997,74,3,1,1,77,3
Amazonas,200804,4,21577.260000000002,29,2,0,1,31,1
Roraima,200804,1,2458.65,2,1,0,0,2,1
Roraima,200804,3,5319.68,7,1,0,0,7,1
Roraima,200804,4,2764.56,1,1,0,0,2,0
Pará,200804,1,28012.960000000003,135,21,0,0,136,19
Pará,200804,2,69496.91999999998,332,27,0,0,336,58
Pará,200804,3,83538.37999999998,171,21,0,0,176,47
Pará,200804,4,35858.86,53,12,0,0,54,12
Amapá,200804,1,452.65,5,2,0,0,5,1
Amapá,200804,3,2839.9,4,1,0,0,4,1
Amapá,200804,4,1142.4,2,1,0,0,2,1
Tocantins,200804,3,14159.279999999999,21,12,0,1,22,2
Tocantins,200804,2,9866.15,22,17,0,0,22,2
Tocantins,200804,1,5784.44,13,11,0,1,14,0
Tocantins,200804,4,8206.62,5,5,1,1,5,1
Tocantins,200804,0,372.9,3,2,0,0,3,1
Maranhão,200804,1,75107.83000000002,243,79,0,9,252,2
Maranhão,200804,2,35594.93,180,44,1,3,182,14
Maranhão,200804,3,91719.40999999999,194,52,0,6,205,13
Maranhão,200804,4,49697.8,47,13,3,5,48,3
Maranhão,200804,0,79.75,1,1,0,0,1,0
Piauí,200804,1,232653.86999999985,709,136,0,12,733,5
Piauí,200804,3,14505.92,30,18,0,2,31,13
Piauí,200804,2,7487.870000000001,29,17,0,0,30,16
Piauí,200804,4,4529.8099999999995,9,5,0,1,10,5
Piauí,200804,0,368.53999999999996,4,2,0,0,4,0
Ceará,200804,3,496742.3600000005,1175,136,0,6,1198,85
Ceará,200804,1,112056.17999999996,725,73,0,0,729,25
Ceará,200804,2,363734.0099999999,1593,133,0,1,1611,60
Ceará,200804,4,209531.12999999986,300,72,0,2,312,26
Ceará,200804,0,215150.23999999996,455,69,0,0,476,31
Rio Grande do Norte,200804,1,30630.699999999997,239,40,0,2,239,12
